,remito,formula,edad,especificada,resistencia_7,resistencia_28
0,1004,11,28,25,19.781065599483913,32.41367713246204
1,1014,10,28,25,18.238252260199914,28.70579550452423
2,1015,28,28,35,27.46536200401509,43.58501761836966
3,1059,27,28,30,18.58617625834125,29.17369402093137
4,1073,27,28,30,19.365217867713962,27.96551494019516
5,1080,23,28,30,21.365817573933782,32.891547339140836
6,1086,28,28,35,29.65855003840294,44.95091540163188
7,1092,36,28,35,23.427590906948637,33.58149434347195
8,1097,41,28,40,26.03909403648663,43.32472048620514
9,1125,28,28,35,27.852176661719643,40.34140908204585
10,1126,39,28,40,26.4182242159268,41.95482109178773
11,1131,42,28,40,28.361170345178,46.18452157194262
12,1139,37,28,40,29.06776733927613,42.50392066685927
13,1141,2,28,21,14.399678951914185,21.82116929163054
14,1143,2,28,21,11.80774111229327,18.7431217470196
15,1148,2,28,21,15.995419227715894,23.04882242469324
16,1165,30,28,35,28.417442724733082,40.91444644096158
17,1169,26,28,30,23.392657811933812,37.47604600932235
18,1173,25,28,30,19.353624050501097,32.22950141367678
19,1177,25,28,30,18.355543784966592,26.92005834848525
20,1190,1,28,21,15.991743086051635,23.79463087382125
21,1202,28,28,35,24.994459824314625,37.028164104027994
22,1223,27,28,30,23.90703178308506,34.86003156844495
23,1225,26,28,30,20.866387266020038,31.273351420981975
24,1258,40,28,40,24.799640837738313,40.58104745405944
25,1280,2,28,21,16.411077499772837,24.417233944262254
26,1286,32,28,35,21.103835485025016,32.93323203112387
27,1304,29,28,35,30.74810916548121,44.337320023939625
28,1323,23,28,30,22.416310933402073,34.84841977845309
29,1329,35,28,35,27.67917249500752,42.73181010577351
30,1341,11,28,25,20.380320254378397,31.47141636779068
31,1355,32,28,35,28.13275600137843,41.430613440434875
32,1356,30,28,35,26.57217030996749,41.65474419458671
33,1365,7,28,21,13.5949668915583,19.425103099792256
34,1367,15,28,25,20.805988479824695,31.910794462097623
35,1374,15,28,25,18.89426057137233,29.675703595046627
36,1387,19,28,30,23.022911966377727,35.73935081175775
37,1394,11,28,25,18.912904890890943,28.133301556019152
38,1395,27,28,30,23.644447019279088,37.04859062044144
39,1401,13,28,25,17.324273055676876,27.074893918449547
40,1411,18,28,25,17.688935932027167,25.779105352885747
41,1427,15,28,25,14.765795967813116,22.209628852452596
42,1434,38,28,40,27.884243617203637,40.278321306192126
43,1436,14,28,25,19.44291590023574,30.54471992503249
44,1437,11,28,25,18.520181324154223,30.229271201267217
45,1447,2,28,21,16.785379316077197,24.13574086806803
46,1450,23,28,30,22.516401267103618,33.34376029353482
47,1460,23,28,30,21.19968064462113,33.218481814196494
48,1462,12,28,25,20.631209006533357,29.83126342787102
49,1466,13,28,25,20.865302628042596,30.881102943117707
50,1469,3,28,21,14.498333676018058,22.53732284153223
51,1471,18,28,25,20.81010531822215,33.07832942198527
52,1477,20,28,30,19.840705212667306,31.249911935151065
53,1487,20,28,30,21.774991781644278,33.053514066544714
54,1494,3,28,21,17.20318734602072,28.3794457566573
55,1501,39,28,40,23.765148111620753,39.50730352259108
56,1502,42,28,40,29.216170141214686,42.43614819631925
57,1515,27,28,30,26.0350124854055,38.347131419086885
58,1519,32,28,35,23.29554132324044,35.23743651002138
59,1523,27,28,30,20.082452913805053,29.165534461053646
60,1526,29,28,35,21.862193740207967,35.184052653752126
61,1551,2,28,21,17.21124278843726,28.578586994670957
62,1555,41,28,40,31.64176311458531,49.70527250539433
63,1560,10,28,25,20.014208880299034,29.986519225185347
64,1563,18,28,25,18.81690573835483,27.762932595956208
65,1568,31,28,35,28.544123083792442,46.17384687531395
66,1570,31,28,35,22.285842345991398,36.57796256735468
67,1578,23,28,30,21.465352019682236,31.722027381075613
68,1582,30,28,35,25.110761675229927,37.99497346171699
69,1595,2,28,21,15.55798625059499,22.54724735931306
70,1597,12,28,25,17.86326647593573,25.766149804947133
71,1599,14,28,25,19.376410411063524,28.87189895617574
72,1600,23,28,30,19.877003389590268,29.962534753176776
73,1606,42,28,40,31.996721858125657,48.993165700705816
74,1616,13,28,25,20.23953706912396,30.236531009395293
75,1619,30,28,35,22.790908588763244,34.381799600434675
76,1620,28,28,35,22.50275511972875,36.58332627186487
77,1622,28,28,35,23.91916930852731,36.56627731682292
78,1623,3,28,21,18.71371209782465,28.776452056203293
79,1631,25,28,30,20.232632776673025,30.78765138628312
80,1635,12,28,25,15.6419719880623,25.954126918702425
81,1636,34,28,35,22.872481960283412,37.12859806596458
82,1639,20,28,30,25.233330974833972,38.9914312606987
83,1651,14,28,25,18.226057097476595,28.57155194884369
84,1656,31,28,35,20.150872871902575,32.41773811795048
85,1662,13,28,25,18.063314666948123,28.281704664781284
86,1665,35,28,35,24.83441068607206,40.025929596778134
87,1681,5,28,21,13.71235114059933,21.295952619925558
88,1683,28,28,35,26.6477851997992,41.46099892564988
89,1684,39,28,40,26.30133963914505,39.33262907697041
90,1691,38,28,40,29.917184036480872,44.32331913139635
91,1699,39,28,40,26.516692553195774,41.98148034484432
92,1704,39,28,40,27.048919131494355,40.317091268656135
93,1715,14,28,25,20.711438068525183,32.40770927204901
94,1716,27,28,30,21.354258936438647,33.07022067463321
95,1719,41,28,40,27.66779423797591,43.956842560113024
96,1722,2,28,21,17.42532479327192,26.05886888728611
97,1735,23,28,30,23.090813582875693,38.21762454882347
98,1741,2,28,21,17.28273370784079,26.602201197160674
99,1742,43,28,40,30.07441655077832,45.64761508638331
100,1751,23,28,30,24.394982067822117,35.83710253393227
101,1763,11,28,25,18.566545435854266,30.67826620411837
102,1772,37,28,40,29.184638044080966,47.72012421905944
103,1779,18,28,25,16.231584773563764,25.156604360079307
104,1810,41,28,40,29.272004548475714,44.9585728029413
105,1812,37,28,40,29.36238809649829,44.473082746399015
106,1840,1,28,21,14.403587735266681,21.233181249002694
107,1845,45,28,40,29.937861924179952,43.74573046355817
108,1851,7,28,21,22.19039732032314,31.77169001993723
109,1852,5,28,21,14.656514581016392,23.41440394023056
110,1855,2,28,21,15.265126799108026,23.207709968716614
111,1869,14,28,25,19.77226426346985,30.29862803433614
112,1875,40,28,40,23.973756194807734,36.93675947607717
113,1879,23,28,30,27.148010734812583,40.4778119451351
114,1882,28,28,35,28.997699109877114,41.70855248160137
115,1888,13,28,25,14.750339634883147,24.183152955516306
116,1889,32,28,35,22.036394836487048,36.6338841131609
117,1898,45,28,40,20.923751138778,34.46940520853906
118,1914,39,28,40,27.32256469688792,43.86310949098127
119,1934,2,28,21,16.208846870600084,24.129892433600748
120,1938,23,28,30,22.81962266765,36.12617635045511
121,1943,39,28,40,25.793437079721155,40.47402993994814
122,1956,2,28,21,14.408856156321118,23.752722497274245
123,1961,11,28,25,15.726388726310592,25.69684749267854
124,1977,27,28,30,19.95418488094964,30.48212754847547
125,1995,23,28,30,24.668586765736737,38.0399172017902
